#ZVView-data-copy:  25-Jan-2019 04:42:21
#=======================================
#
#name:   79-AU-197(N,G)79-AU-198,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  2424
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
      2.344e-6            0       38.119      0.95601  # 1996,S.Yamamoto+         ## 22370004
       2.35e-6            0           37            0  # 1964,E.Haddad+           ## 12196003
        2.5e-6            0           45            0  # 1964,V.A.Konks+          ## 40799004
      2.653e-6            0       45.917       1.1426  # 1996,S.Yamamoto+         ## 22370004
       2.75e-6            0           48            0  # 1964,E.Haddad+           ## 12196003
          3e-6            0           52            0  # 1964,V.A.Konks+          ## 40799004
      3.004e-6            0       61.539       1.5231  # 1996,S.Yamamoto+         ## 22370004
       3.19e-6            0           72            0  # 1964,E.Haddad+           ## 12196003
        3.3e-6            0           72            0  # 1964,V.A.Konks+          ## 40799004
      3.403e-6            0       95.473       2.3457  # 1996,S.Yamamoto+         ## 22370004
        3.5e-6            0           80            0  # 1964,V.A.Konks+          ## 40799004
       3.55e-6            0          132            0  # 1964,E.Haddad+           ## 12196003
        3.6e-6            0           92            0  # 1964,V.A.Konks+          ## 40799004
        3.7e-6            0          110            0  # 1964,V.A.Konks+          ## 40799004
      3.853e-6            0       193.58       4.7334  # 1996,S.Yamamoto+         ## 22370004
        3.9e-6            0          130            0  # 1964,V.A.Konks+          ## 40799004
        4.1e-6            0          170            0  # 1964,V.A.Konks+          ## 40799004
        4.2e-6            0          595            0  # 1964,E.Haddad+           ## 12196003
       4.35e-6            0          200            0  # 1964,V.A.Konks+          ## 40799004
      4.359e-6            0        743.3       18.104  # 1996,S.Yamamoto+         ## 22370004
        4.5e-6            0          225            0  # 1964,V.A.Konks+          ## 40799004
        4.7e-6            0          270            0  # 1964,V.A.Konks+          ## 40799004
        4.9e-6            0          300            0  # 1964,V.A.Konks+          ## 40799004
        5.1e-6            0          310            0  # 1964,V.A.Konks+          ## 40799004
      5.548e-6            0       440.72       10.747  # 1996,S.Yamamoto+         ## 22370004
       5.65e-6            0          330            0  # 1964,E.Haddad+           ## 12196003
        5.7e-6            0          290            0  # 1964,V.A.Konks+          ## 40799004
          6e-6            0          260            0  # 1964,V.A.Konks+          ## 40799004
        6.2e-6            0          210            0  # 1964,V.A.Konks+          ## 40799004
      6.301e-6            0       82.384       2.0271  # 1996,S.Yamamoto+         ## 22370004
        6.4e-6            0         52.5            0  # 1964,E.Haddad+           ## 12196003
        6.5e-6            0          170            0  # 1964,V.A.Konks+          ## 40799004
        6.9e-6            0          125            0  # 1964,V.A.Konks+          ## 40799004
          7e-6            0          115            0  # 1964,V.A.Konks+          ## 40799004
       7.13e-6            0       30.642      0.77545  # 1996,S.Yamamoto+         ## 22370004
       7.25e-6            0           24            0  # 1964,E.Haddad+           ## 12196003
        7.8e-6            0           90            0  # 1964,V.A.Konks+          ## 40799004
          8e-6            0           12            0  # 1964,E.Haddad+           ## 12196003
          8e-6            0           65            0  # 1964,V.A.Konks+          ## 40799004
      8.039e-6            0       15.323       0.4052  # 1996,S.Yamamoto+         ## 22370004
        8.6e-6            0         10.5            0  # 1964,E.Haddad+           ## 12196002
        8.6e-6            0           45            0  # 1964,V.A.Konks+          ## 40799004
          9e-6            0          7.9            0  # 1964,E.Haddad+           ## 12196002
        9.2e-6            0           31            0  # 1964,V.A.Konks+          ## 40799004
        9.5e-6            0          5.9            0  # 1964,E.Haddad+           ## 12196002
        9.5e-6            0           27            0  # 1964,V.A.Konks+          ## 40799004
          1e-5            0          5.4            0  # 1964,E.Haddad+           ## 12196002
          1e-5            0           20            0  # 1964,V.A.Konks+          ## 40799004
       1.04e-5            0         4.75            0  # 1964,E.Haddad+           ## 12196002
       1.08e-5            0         3.65            0  # 1964,E.Haddad+           ## 12196002
        1.1e-5            0           15            0  # 1964,V.A.Konks+          ## 40799004
       1.18e-5            0         3.29            0  # 1964,E.Haddad+           ## 12196002
        1.2e-5            0           13            0  # 1964,V.A.Konks+          ## 40799004
       1.28e-5            0         2.08            0  # 1964,E.Haddad+           ## 12196002
        1.3e-5            0           11            0  # 1964,V.A.Konks+          ## 40799004
       1.39e-5            0         2.26            0  # 1964,E.Haddad+           ## 12196002
        1.5e-5            0            8            0  # 1964,V.A.Konks+          ## 40799004
       1.58e-5            0         1.59            0  # 1964,E.Haddad+           ## 12196002
        1.7e-5            0            7            0  # 1964,V.A.Konks+          ## 40799004
       1.75e-5            0          5.5            0  # 1964,V.A.Konks+          ## 40799004
       1.78e-5            0         1.18            0  # 1964,E.Haddad+           ## 12196002
        1.8e-5            0          5.2            0  # 1964,V.A.Konks+          ## 40799004
       1.98e-5            0         0.94            0  # 1964,E.Haddad+           ## 12196002
          2e-5            0            4            0  # 1964,V.A.Konks+          ## 40799004
       2.23e-5            0         0.73            0  # 1964,E.Haddad+           ## 12196002
        2.3e-5            0            3            0  # 1964,V.A.Konks+          ## 40799004
        2.4e-5            0          2.8            0  # 1964,V.A.Konks+          ## 40799004
          3e-5            0          2.2            0  # 1964,V.A.Konks+          ## 40799004
        3.2e-5            0          1.9            0  # 1964,V.A.Konks+          ## 40799004
        3.5e-5            0         0.61            0  # 1964,E.Haddad+           ## 12196002
        3.8e-5            0          1.9            0  # 1964,V.A.Konks+          ## 40799004
       3.96e-5            0         0.86            0  # 1964,E.Haddad+           ## 12196002
        4.2e-5            0         2.25            0  # 1964,V.A.Konks+          ## 40799004
        4.4e-5            0          1.1            0  # 1964,E.Haddad+           ## 12196002
        4.5e-5            0          3.4            0  # 1964,V.A.Konks+          ## 40799004
       4.55e-5            0         1.34            0  # 1964,E.Haddad+           ## 12196002
        4.6e-5            0         5.45            0  # 1964,E.Haddad+           ## 12196002
        4.6e-5            0          4.1            0  # 1964,V.A.Konks+          ## 40799004
       4.65e-5            0        10.02            0  # 1964,E.Haddad+           ## 12196002
       4.69e-5            0         2.13            0  # 1964,E.Haddad+           ## 12196002
       4.75e-5            0         1.13            0  # 1964,E.Haddad+           ## 12196002
        4.8e-5            0          6.2            0  # 1964,V.A.Konks+          ## 40799004
       4.85e-5            0         1.03            0  # 1964,E.Haddad+           ## 12196002
          5e-5            0            8            0  # 1964,V.A.Konks+          ## 40799004
       5.05e-5            0         1.68            0  # 1964,E.Haddad+           ## 12196002
        5.1e-5            0         12.5            0  # 1964,V.A.Konks+          ## 40799004
       5.16e-5            0         1.93            0  # 1964,E.Haddad+           ## 12196002
        5.2e-5            0           16            0  # 1964,V.A.Konks+          ## 40799004
       5.35e-5            0         2.74            0  # 1964,E.Haddad+           ## 12196002
        5.4e-5            0           20            0  # 1964,V.A.Konks+          ## 40799004
        5.5e-5            0           25            0  # 1964,V.A.Konks+          ## 40799004
       5.55e-5            0         5.35            0  # 1964,E.Haddad+           ## 12196002
       5.64e-5            0          8.2            0  # 1964,E.Haddad+           ## 12196002
        5.7e-5            0           30            0  # 1964,V.A.Konks+          ## 40799004
       5.75e-5            0           29            0  # 1964,E.Haddad+           ## 12196002
       5.85e-5            0          148            0  # 1964,E.Haddad+           ## 12196002
        5.9e-5            0           44            0  # 1964,E.Haddad+           ## 12196002
       5.99e-5            0         2030            0  # 1964,E.Haddad+           ## 12196002
        6.1e-5            0          590            0  # 1964,E.Haddad+           ## 12196002
        6.2e-5            0           26            0  # 1964,E.Haddad+           ## 12196002
        6.2e-5            0           78            0  # 1964,E.Haddad+           ## 12196002
        6.2e-5            0           26            0  # 1964,E.Haddad+           ## 12196002
        6.2e-5            0           78            0  # 1964,E.Haddad+           ## 12196002
        6.3e-5            0         11.7            0  # 1964,E.Haddad+           ## 12196002
       6.35e-5            0          7.4            0  # 1964,E.Haddad+           ## 12196002
        6.4e-5            0         4.15            0  # 1964,E.Haddad+           ## 12196002
       6.45e-5            0         3.25            0  # 1964,E.Haddad+           ## 12196002
        6.5e-5            0           32            0  # 1964,V.A.Konks+          ## 40799004
       6.75e-5            0         1.73            0  # 1964,E.Haddad+           ## 12196002
       6.95e-5            0         1.27            0  # 1964,E.Haddad+           ## 12196002
          7e-5            0           30            0  # 1964,V.A.Konks+          ## 40799004
        7.2e-5            0         1.13            0  # 1964,E.Haddad+           ## 12196002
       7.35e-5            0         1.58            0  # 1964,E.Haddad+           ## 12196002
       7.45e-5            0         1.83            0  # 1964,E.Haddad+           ## 12196002
        7.5e-5            0           23            0  # 1964,V.A.Konks+          ## 40799004
       7.55e-5            0         2.18            0  # 1964,E.Haddad+           ## 12196002
       7.65e-5            0          3.9            0  # 1964,E.Haddad+           ## 12196002
       7.85e-5            0          135            0  # 1964,E.Haddad+           ## 12196002
       7.95e-5            0          149            0  # 1964,E.Haddad+           ## 12196002
       7.96e-5            0          8.9            0  # 1964,E.Haddad+           ## 12196002
       8.05e-5            0         2.53            0  # 1964,E.Haddad+           ## 12196002
        8.3e-5            0        0.595            0  # 1964,E.Haddad+           ## 12196002
       8.55e-5            0         0.41            0  # 1964,E.Haddad+           ## 12196002
        8.6e-5            0           15            0  # 1964,V.A.Konks+          ## 40799004
        8.9e-5            0        0.628            0  # 1964,E.Haddad+           ## 12196002
       9.35e-5            0        0.635            0  # 1964,E.Haddad+           ## 12196002
        9.5e-5            0            9            0  # 1964,V.A.Konks+          ## 40799004
        9.7e-5            0        0.395            0  # 1964,E.Haddad+           ## 12196002
        0.0001            0         0.79            0  # 1964,E.Haddad+           ## 12196002
        0.0001            0          7.5            0  # 1964,V.A.Konks+          ## 40799004
      0.000102            0         2.03            0  # 1964,E.Haddad+           ## 12196002
      0.000103            0          100            0  # 1964,E.Haddad+           ## 12196002
      0.000106            0         10.4            0  # 1964,E.Haddad+           ## 12196002
      0.000109            0         1.63            0  # 1964,E.Haddad+           ## 12196002
      0.000111            0        0.405            0  # 1964,E.Haddad+           ## 12196002
      0.000115            0          7.4            0  # 1964,V.A.Konks+          ## 40799004
      0.000118            0        0.485            0  # 1964,E.Haddad+           ## 12196002
      0.000119            0          8.8            0  # 1964,E.Haddad+           ## 12196002
       0.00012            0          7.5            0  # 1964,V.A.Konks+          ## 40799004
      0.000123            0         0.51            0  # 1964,E.Haddad+           ## 12196002
     0.0001255            0        0.354            0  # 1964,E.Haddad+           ## 12196002
      0.000132            0         0.75            0  # 1964,E.Haddad+           ## 12196002
      0.000138            0         1.03            0  # 1964,E.Haddad+           ## 12196002
       0.00014            0          9.5            0  # 1964,V.A.Konks+          ## 40799004
      0.000141            0         31.5            0  # 1964,E.Haddad+           ## 12196002
      0.000143            0         2.69            0  # 1964,E.Haddad+           ## 12196002
      0.000146            0         6.98            0  # 1964,E.Haddad+           ## 12196002
      0.000148            0           81            0  # 1964,E.Haddad+           ## 12196002
      0.000152            0         2.85            0  # 1964,E.Haddad+           ## 12196002
      0.000155            0         1.13            0  # 1964,E.Haddad+           ## 12196002
      0.000158            0         3.68            0  # 1964,E.Haddad+           ## 12196002
     0.0001585            0          110            0  # 1964,E.Haddad+           ## 12196002
       0.00016            0           12            0  # 1964,V.A.Konks+          ## 40799004
      0.000162            0         30.5            0  # 1964,E.Haddad+           ## 12196002
      0.000167            0         1.48            0  # 1964,E.Haddad+           ## 12196002
      0.000175            0         11.5            0  # 1964,V.A.Konks+          ## 40799004
      0.000177            0        0.615            0  # 1964,E.Haddad+           ## 12196002
      0.000184            0         1.68            0  # 1964,E.Haddad+           ## 12196002
     0.0001845            0         64.6            0  # 1964,E.Haddad+           ## 12196002
      0.000191            0         2.24            0  # 1964,E.Haddad+           ## 12196002
      0.000194            0        0.515            0  # 1964,E.Haddad+           ## 12196002
      0.000198            0         0.67            0  # 1964,E.Haddad+           ## 12196002
      0.000204            0        0.365            0  # 1964,E.Haddad+           ## 12196002
      0.000206            0         1.55            0  # 1964,E.Haddad+           ## 12196002
       0.00021            0          9.3            0  # 1964,V.A.Konks+          ## 40799004
      0.000212            0        0.615            0  # 1964,E.Haddad+           ## 12196002
      0.000216            0         0.66            0  # 1964,E.Haddad+           ## 12196002
      0.000223            0        0.419            0  # 1964,E.Haddad+           ## 12196002
      0.000226            0         0.58            0  # 1964,E.Haddad+           ## 12196002
       0.00023            0         1.08            0  # 1964,E.Haddad+           ## 12196002
      0.000233            0         12.3            0  # 1961,R.C.Block+          ## 11935026
      0.000233            0         72.6            0  # 1964,E.Haddad+           ## 12196002
      0.000239            0          7.6            0  # 1964,E.Haddad+           ## 12196002
       0.00024            0          8.7            0  # 1964,V.A.Konks+          ## 40799004
      0.000245            0         15.7            0  # 1961,R.C.Block+          ## 11935026
      0.000246            0         1.78            0  # 1964,E.Haddad+           ## 12196002
      0.000251            0         1.78            0  # 1964,E.Haddad+           ## 12196002
      0.000255            0         14.5            0  # 1961,R.C.Block+          ## 11935026
      0.000255            0         57.5            0  # 1964,E.Haddad+           ## 12196002
      0.000265            0         13.5            0  # 1961,R.C.Block+          ## 11935026
      0.000265            0         2.83            0  # 1964,E.Haddad+           ## 12196002
      0.000267            0          6.7            0  # 1964,E.Haddad+           ## 12196002
       0.00027            0           10            0  # 1964,V.A.Konks+          ## 40799004
      0.000273            0         12.3            0  # 1961,R.C.Block+          ## 11935026
      0.000278            0         1.23            0  # 1964,E.Haddad+           ## 12196002
       0.00028            0           15            0  # 1961,R.C.Block+          ## 11935026
      0.000281            0          4.5            0  # 1964,E.Haddad+           ## 12196002
      0.000286            0         55.5            0  # 1964,E.Haddad+           ## 12196002
      0.000295            0         12.8            0  # 1961,R.C.Block+          ## 11935026
      0.000299            0         2.36            0  # 1964,E.Haddad+           ## 12196002
        0.0003            0         10.5            0  # 1964,V.A.Konks+          ## 40799004
      0.000308            0         0.85            0  # 1964,E.Haddad+           ## 12196002
      0.000314            0         11.2            0  # 1961,R.C.Block+          ## 11935026
      0.000315            0         0.62            0  # 1964,E.Haddad+           ## 12196002
       0.00032            0        40.75            0  # 1964,E.Haddad+           ## 12196002
       0.00033            0         11.8            0  # 1961,R.C.Block+          ## 11935026
      0.000332            0          4.6            0  # 1964,E.Haddad+           ## 12196002
      0.000334            0         13.7            0  # 1961,R.C.Block+          ## 11935026
      0.000342            0        0.665            0  # 1964,E.Haddad+           ## 12196002
      0.000345            0         16.3            0  # 1964,E.Haddad+           ## 12196002
      0.000348            0         15.3            0  # 1961,R.C.Block+          ## 11935026
